"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2022","AQS","420030002","2","7.2","ug/m3 LC","40","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/02/2022","AQS","420030002","2","4.1","ug/m3 LC","23","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/03/2022","AQS","420030002","2","5.6","ug/m3 LC","31","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/04/2022","AQS","420030002","2","11","ug/m3 LC","55","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/05/2022","AQS","420030002","2","6.8","ug/m3 LC","38","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/06/2022","AQS","420030002","2","11.2","ug/m3 LC","55","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/07/2022","AQS","420030002","2","10.5","ug/m3 LC","54","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/08/2022","AQS","420030002","2","14.5","ug/m3 LC","61","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/09/2022","AQS","420030002","2","8","ug/m3 LC","44","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/10/2022","AQS","420030002","2","7.1","ug/m3 LC","39","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/11/2022","AQS","420030002","2","7.8","ug/m3 LC","43","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/12/2022","AQS","420030002","2","7.5","ug/m3 LC","42","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/13/2022","AQS","420030002","2","14.8","ug/m3 LC","62","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/14/2022","AQS","420030002","2","11.4","ug/m3 LC","55","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/15/2022","AQS","420030002","2","5.2","ug/m3 LC","29","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/16/2022","AQS","420030002","2","4.9","ug/m3 LC","27","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/17/2022","AQS","420030002","2","9.1","ug/m3 LC","51","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/18/2022","AQS","420030002","2","9.7","ug/m3 LC","52","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/19/2022","AQS","420030002","2","9.8","ug/m3 LC","52","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/20/2022","AQS","420030002","2","5.6","ug/m3 LC","31","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/21/2022","AQS","420030002","2","7.1","ug/m3 LC","39","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/22/2022","AQS","420030002","2","14.5","ug/m3 LC","61","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/23/2022","AQS","420030002","2","9.7","ug/m3 LC","52","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/24/2022","AQS","420030002","2","7.2","ug/m3 LC","40","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/25/2022","AQS","420030002","2","12","ug/m3 LC","56","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/26/2022","AQS","420030002","2","14.6","ug/m3 LC","61","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/27/2022","AQS","420030002","2","15.1","ug/m3 LC","62","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/28/2022","AQS","420030002","2","11.8","ug/m3 LC","56","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/29/2022","AQS","420030002","2","8.5","ug/m3 LC","47","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/30/2022","AQS","420030002","2","16.3","ug/m3 LC","64","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"01/31/2022","AQS","420030002","2","23.9","ug/m3 LC","79","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/01/2022","AQS","420030002","2","21.1","ug/m3 LC","73","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/02/2022","AQS","420030002","2","20.1","ug/m3 LC","71","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/03/2022","AQS","420030002","2","6.5","ug/m3 LC","36","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/04/2022","AQS","420030002","2","5.4","ug/m3 LC","30","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/05/2022","AQS","420030002","2","12.5","ug/m3 LC","57","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/06/2022","AQS","420030002","2","17.6","ug/m3 LC","67","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/07/2022","AQS","420030002","2","13.2","ug/m3 LC","59","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/08/2022","AQS","420030002","2","13.7","ug/m3 LC","60","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/09/2022","AQS","420030002","2","8.5","ug/m3 LC","47","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/10/2022","AQS","420030002","2","5.5","ug/m3 LC","31","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/11/2022","AQS","420030002","2","8.2","ug/m3 LC","46","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/12/2022","AQS","420030002","2","5.2","ug/m3 LC","29","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/13/2022","AQS","420030002","2","6","ug/m3 LC","33","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/14/2022","AQS","420030002","2","10.1","ug/m3 LC","53","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/15/2022","AQS","420030002","2","15","ug/m3 LC","62","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/16/2022","AQS","420030002","2","13.4","ug/m3 LC","59","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/17/2022","AQS","420030002","2","7.2","ug/m3 LC","40","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/18/2022","AQS","420030002","2","5.8","ug/m3 LC","32","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/19/2022","AQS","420030002","2","5.7","ug/m3 LC","32","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/20/2022","AQS","420030002","2","6","ug/m3 LC","33","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
"02/21/2022","AQS","420030002","2","9.7","ug/m3 LC","52","Avalon","1","100.0000","88101","PM2.5 - Local Conditions","183","Thermo Scientific 5014i or FH62C14-DHS w/VSCC","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.50084","-80.066488"
